"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Nkosi Tafari","FCD","2024","CB","2573","-0.25","0.04","0.57","0.19","0.13","0.23","0.91"
"","Claudio Bravo","POR","2024","FB","1787","0.34","-0.25","0.48","0.57","-0.29","0.05","0.91"
"","David Martínez","LAFC","2024","W","540","0.45","-0.05","-0.09","0.23","-0.06","0.41","0.89"
"","Tim Parker","NER, STL","2024","CB","2481","0.04","0.22","-0.27","0.74","0.08","0.08","0.89"
"","Aidan Morris","CLB","2024","CM","1456","0.17","0.33","0.66","0.02","-0.36","0.07","0.89"
"","Steven Moreira","CLB","2024","CB","2430","-0.08","0.17","0.54","0.42","-0.07","-0.09","0.88"
"","Connor Ronan","COL","2024","DM","2030","0.20","0.02","-0.07","1.51","-0.49","-0.29","0.87"
"","Yevhen Cheberko","CLB","2024","CB","1930","0.09","0.10","-0.11","0.94","-0.08","-0.07","0.87"
"","Damion Lowe","PHI","2024","CB","1100","-0.08","0.05","0.51","0.01","0.31","0.05","0.85"
"","Alejandro Bedoya","PHI","2024","CM","1677","-0.25","-0.07","0.40","0.60","0.17","-0.02","0.83"
"","Pedro Amador","ATL","2024","FB","915","0.15","0.09","0.36","0.31","-0.09","0.00","0.83"
"","Diego Gómez","MIA","2024","W","1512","0.02","-0.13","0.24","0.36","0.28","0.04","0.81"
"","Hassani Dotson","MIN","2024","CM","2520","0.11","0.34","-0.11","0.48","-0.29","0.26","0.79"
"","Rafael Navarro","COL","2024","ST","3063","1.66","0.51","0.22","-0.84","-0.87","0.11","0.79"
"","Mikael Uhre","PHI","2024","ST","2255","0.73","-0.23","-0.00","-0.26","0.56","-0.01","0.78"
"","Tomas Totland","STL","2024","FB","2809","-0.03","0.11","0.22","-0.07","0.54","0.01","0.78"
"","Carlos Harvey","MIN","2024","CB","1188","0.01","0.15","0.82","-0.01","-0.20","-0.00","0.77"
"","Andreu Fontàs","SKC","2024","CB","1576","0.06","0.17","-0.08","1.02","-0.25","-0.15","0.76"
"","Karol Swiderski","CLT","2024","ST","576","-0.06","-0.01","0.15","0.34","-0.02","0.35","0.76"
"","Brent Kallman","NSH","2024","CB","631","-0.10","0.03","0.61","-0.05","0.14","0.13","0.76"
"","Luis Muriel","ORL","2024","ST","1819","-0.09","0.08","0.15","1.83","-1.02","-0.19","0.76"
"","Petar Musa","FCD","2024","ST","2566","-0.85","0.22","0.56","0.95","-0.43","0.31","0.75"
"","Jamal Thiaré","ATL","2024","ST","1311","0.44","0.37","0.23","-1.36","1.28","-0.21","0.75"
"","Joseph Paintsil","LAG","2024","W","2546","-0.59","0.35","-0.29","-1.06","1.79","0.55","0.74"
"","Alvas Powell","CIN","2024","CB","908","0.31","0.21","0.22","-0.10","0.03","0.07","0.74"
"","Georgios Giakoumakis","ATL","2024","ST","807","-0.14","0.42","-0.00","-0.17","0.29","0.35","0.73"
"","Leo Afonso","MIA","2024","W","326","0.53","0.23","0.08","-0.33","0.20","0.02","0.73"
"","Kervin Arriaga","MIN","2024","CB","1011","-0.15","0.07","0.45","0.11","0.02","0.22","0.71"
"","Kipp Keller","CIN","2024","CB","945","0.11","0.11","0.37","-0.08","0.17","0.01","0.69"
"","Bongokuhle Hlongwane","MIN","2024","W","2144","-0.40","-0.21","0.03","-0.78","1.51","0.54","0.69"
"","Mathías Laborda","VAN","2024","CB","2166","-0.28","-0.10","0.29","-0.08","0.53","0.32","0.69"
"","Yamil Asad","CIN","2024","FB","975","0.13","0.11","-0.09","0.02","0.23","0.28","0.69"
"","Alex Roldan","SEA","2024","FB","2542","-0.28","0.14","0.92","-0.19","0.02","0.06","0.68"
"","Benjamin Cremaschi","MIA","2024","CM","1294","0.13","0.00","0.28","-0.52","0.55","0.21","0.66"
"","Garrison Tubbs","DCU","2024","CB","655","0.02","0.22","0.42","-0.27","0.29","-0.03","0.65"
"","Agustín Ojeda","NYC","2024","W","1103","0.28","-0.08","0.01","-0.19","0.44","0.19","0.65"
"","Paul Rothrock","SEA","2024","W","1476","0.18","0.38","-0.01","-0.49","0.35","0.23","0.64"
"","Sam Adeniran","PHI, STL","2024","ST","873","0.05","-0.14","-0.07","0.13","0.53","0.15","0.64"
"","Ali Ahmed","VAN","2024","FB","1519","0.80","-0.03","0.15","-0.56","0.19","0.08","0.64"
"","Malachi Jones","NYC","2024","W","579","0.28","0.04","0.07","-0.28","0.43","0.10","0.63"
"","Jacob Murrell","DCU","2024","ST","1113","-0.17","-0.07","-0.16","0.03","0.70","0.30","0.63"
"","Sergi Palencia","LAFC","2024","FB","2563","-0.03","0.02","0.41","0.55","-0.12","-0.22","0.61"
"","Daniel Lovitz","NSH","2024","FB","2545","-0.21","0.20","0.83","0.47","-0.41","-0.29","0.59"
"","Erik Sviatchenko","HOU","2024","CB","2713","-0.21","0.26","-0.12","-0.48","0.57","0.56","0.59"
"","Sebastián Driussi","ATX","2024","AM","2549","-0.50","0.33","-0.09","0.41","0.23","0.21","0.58"
"","Noah Eile","NYRB","2024","CB","2739","-0.05","-0.10","-0.01","0.80","-0.01","-0.06","0.58"
"","Amahl Pellegrino","SJE","2024","W","1903","-0.56","-0.28","-0.00","-0.47","1.42","0.44","0.56"
"","Chris Mueller","CHI","2024","W","1520","0.86","0.11","-0.43","-0.08","0.15","-0.04","0.56"
"","Célio Pompeu","STL","2024","W","1404","0.51","-0.10","0.15","0.60","-0.52","-0.07","0.56"
"","Asier Illarramendi","FCD","2024","CM","2200","-0.22","-0.33","0.94","0.51","-0.45","0.10","0.56"
"","Ethan Bartlow","HOU","2024","CB","975","0.18","0.04","0.66","0.12","-0.33","-0.13","0.54"
"","Josh Yaro","STL","2024","CB","915","-0.12","0.09","0.63","-0.11","0.09","-0.04","0.54"
"","George Campbell","MTL","2024","CB","2462","0.16","0.05","0.07","0.82","-0.32","-0.26","0.53"
"","Marcelo Weigandt","MIA","2024","FB","2268","-0.15","-0.20","0.84","-0.16","0.21","-0.02","0.53"
"","Yeimar Gómez Andrade","SEA","2024","CB","2769","0.09","0.14","0.45","-0.16","-0.12","0.11","0.51"
"","Andrés Perea","NYC","2024","DM","1446","-0.20","0.28","-0.33","-0.36","1.03","0.08","0.50"
"","Josef Martínez","MTL","2024","ST","1528","-0.57","-0.19","-0.20","-0.34","1.42","0.37","0.50"
"","Jesús Bueno","PHI","2024","CM","738","-0.03","0.03","0.14","-0.30","0.47","0.19","0.49"
"","Cory Burke","NYRB","2024","ST","404","-0.38","-0.05","-0.02","0.22","0.68","0.03","0.49"
"","Ranko Veselinović","VAN","2024","CB","3092","0.09","0.07","0.81","-0.40","-0.02","-0.08","0.47"
"","Michael Edwards","COL","2024","CB","236","-0.03","0.03","0.12","-0.05","0.33","0.04","0.44"
"","Lassi Lappalainen","MTL","2024","FB","395","0.13","0.01","0.16","0.02","-0.04","0.15","0.43"
"","Sergii Kryvtsov","MIA","2024","CB","1572","0.20","0.13","0.34","-0.04","-0.17","-0.04","0.42"
"","Wilder Cartagena","ORL","2024","DM","2499","0.43","-0.03","-0.35","0.76","-0.36","-0.03","0.42"
"","Jack Maher","NSH","2024","CB","2721","0.02","-0.28","0.75","0.12","-0.02","-0.19","0.41"
"","Amine Bassi","HOU","2024","AM","2788","0.73","0.04","-0.23","0.08","-0.16","-0.05","0.40"
"","Danny Musovski","SEA","2024","ST","656","0.13","-0.07","-0.16","0.13","0.35","0.01","0.40"
"","Nacho Gil","NER","2024","W","737","0.01","-0.08","0.18","0.11","0.18","-0.01","0.39"
"","Facundo Torres","ORL","2024","W","2951","-0.78","0.13","-0.59","-0.00","1.31","0.32","0.38"
"","John Klein","STL","2024","W","630","-0.07","-0.03","0.10","-0.07","0.34","0.11","0.38"
"","Kamal Miller","POR","2024","CB","2229","-0.65","-0.01","1.27","0.14","-0.18","-0.19","0.38"
"","Derrick Williams","ATL","2024","CB","2543","0.43","-0.09","-0.01","-0.30","0.26","0.08","0.37"
"","Pedro Vite","VAN","2024","CM","2233","-0.16","-0.06","0.75","0.37","-0.56","0.01","0.37"
"","Robert Castellanos","SKC","2024","CB","1166","-0.07","0.11","-0.06","-0.00","0.30","0.08","0.37"
"","Moïse Bombito","COL","2024","CB","1762","-0.73","0.09","0.72","0.13","0.00","0.16","0.36"
"","Lawrence Ennali","HOU","2024","W","53","0.32","-0.01","-0.02","-0.01","0.03","0.05","0.36"
"","Georgi Minoungou","SEA","2024","W","424","0.45","-0.04","-0.02","-0.04","0.02","-0.00","0.36"
"","Philip Quinton","CLB, RSL","2024","CB","1507","-0.21","0.13","0.74","-0.17","-0.20","0.06","0.36"
"","Déiber Caicedo","VAN","2024","W","154","0.03","0.01","-0.06","-0.09","0.27","0.19","0.36"
"","Luis Abram","ATL","2024","CB","1308","-0.03","0.10","0.32","0.12","-0.17","0.01","0.35"
"","Max Arfsten","CLB","2024","FB","2184","0.86","0.13","-0.21","-1.80","0.76","0.61","0.35"
"","Javain Brown","VAN, RSL","2024","CB","1463","0.02","-0.17","0.50","-0.05","-0.06","0.11","0.34"
"","Shaq Moore","NSH","2024","FB","1883","-0.21","0.40","-0.11","-0.14","0.21","0.18","0.34"
"","Tyrese Spicer","TOR","2024","FB","1204","0.19","0.14","-0.27","-0.29","0.43","0.14","0.34"
"","Arnaud Souquet","CHI","2024","CB","2113","0.14","0.07","0.42","0.16","-0.36","-0.09","0.34"
"","Chidozie Awaziem","CIN","2024","CB","599","0.10","0.07","-0.43","0.42","0.16","0.01","0.34"
"","Jalen Neal","LAG","2024","CB","1562","0.04","0.24","-0.25","0.73","-0.25","-0.16","0.33"
"","Bret Halsey","CIN","2024","FB","611","0.07","-0.05","0.17","-0.35","0.36","0.11","0.33"
"","Martín Cáceres","LAG","2024","CB","1214","0.02","0.15","0.41","-0.12","-0.15","0.02","0.32"
"","Joaquín Fernández","SKC","2024","CB","122","0.02","0.01","0.22","0.00","0.01","0.03","0.29"
"","Belal Halbouni","VAN","2024","CB","189","0.13","0.01","0.08","0.02","-0.01","0.06","0.29"
"","Albert Rusnák","SEA","2024","AM","2798","0.22","-0.05","-0.27","1.12","-0.76","0.02","0.28"
"","Maxime Chanot","LAFC","2024","CB","1524","-0.00","0.13","-0.24","0.26","0.20","-0.07","0.28"
"","Thiago Martins","NYC","2024","CB","3193","0.14","0.05","-0.19","1.05","-0.55","-0.20","0.28"
"","Bill Tuiloma","CLT","2024","CB","225","0.03","0.02","0.04","0.15","-0.01","0.06","0.28"
"","Tomás Chancalay","NER","2024","W","1066","0.41","-0.20","-0.07","-0.10","-0.33","0.57","0.27"
"","Wyatt Omsberg","CHI","2024","CB","939","-0.02","0.02","0.26","0.13","-0.12","0.00","0.27"
"","Ronald Hernández","ATL","2024","FB","831","-0.04","0.03","0.13","0.22","-0.18","0.10","0.26"
"","Kwadwo Opoku","MTL","2024","AM","596","-0.21","-0.05","-0.07","-0.10","0.66","0.03","0.26"
"","Aleksey Miranchuk","ATL","2024","AM","852","0.32","-0.03","-0.32","0.64","-0.25","-0.10","0.26"
"","Loïc Mesanvi","MIN","2024","W","80","-0.05","-0.01","-0.01","0.06","0.23","0.04","0.25"
"","Steven Birnbaum","DCU","2024","CB","388","-0.10","-0.01","0.26","0.02","0.06","0.02","0.25"
"","David Brekalo","ORL","2024","CB","1330","0.21","0.12","-0.10","-0.22","0.26","-0.01","0.25"
"","Pep Biel","CLT","2024","W","649","0.07","-0.06","-0.12","0.20","0.02","0.13","0.24"
"","Markus Anderson","PHI","2024","CM","119","0.36","-0.01","-0.04","-0.06","-0.01","-0.00","0.24"
"","DeAndre Yedlin","CIN, MIA","2024","FB","2786","-0.31","0.34","0.32","-0.70","0.79","-0.21","0.24"
"","Keaton Parks","NYC","2024","DM","2841","-0.54","0.20","-1.32","0.61","1.17","0.10","0.23"
"","Logan Ndenbe","SKC","2024","FB","273","-0.00","0.03","0.07","0.11","-0.04","0.06","0.22"
"","Josh Atencio","SEA","2024","DM","1225","0.34","0.01","0.07","-0.64","0.04","0.38","0.22"
"","João Paulo","SEA","2024","DM","1420","0.06","0.08","-0.26","0.52","-0.29","0.10","0.21"
"","Daniel Munie","SJE","2024","CB","1261","-0.28","0.07","0.64","0.08","-0.21","-0.10","0.21"
"","Jonathan Lewis","COL","2024","W","903","0.09","-0.30","-0.04","0.06","0.29","0.10","0.21"
"","Danny Leyva","SEA","2024","DM","282","-0.01","0.01","0.18","0.17","-0.14","-0.02","0.20"
"","Memo Rodríguez","SKC","2024","CM","1789","-0.26","0.33","-0.09","0.36","-0.26","0.12","0.20"
"","Ilie Sánchez","LAFC","2024","DM","2388","-0.10","-0.10","0.75","0.26","-0.43","-0.18","0.20"
"","Andrés Herrera","CLB","2024","FB","553","-0.11","0.05","-0.14","-0.37","0.60","0.16","0.20"
"","Samuel Shashoua","MIN","2024","W","37","0.11","0.01","-0.02","0.02","-0.01","0.09","0.19"
"","Tomás Ángel","LAFC","2024","ST","81","0.07","-0.01","-0.05","-0.13","0.23","0.08","0.19"
"","Giuseppe Bovalina","VAN","2024","FB","230","-0.00","0.01","0.12","-0.13","0.12","0.09","0.19"
"","Aníbal Godoy","NSH","2024","DM","1642","-0.01","0.10","0.02","0.33","-0.18","-0.08","0.19"
"","Calvin Harris","COL","2024","W","1688","0.52","0.23","-0.45","-0.67","0.59","-0.04","0.19"
"","Noah Allen","MIA","2024","CB","1078","0.02","-0.17","0.92","-0.26","-0.23","-0.10","0.18"
"","Dave Romney","NER","2024","CB","2485","0.00","-0.01","0.64","-0.11","-0.17","-0.16","0.18"
"","Micael","HOU","2024","CB","3122","0.07","0.11","-0.05","0.71","-0.49","-0.18","0.17"
"","Mitja Ilenic","NYC","2024","FB","1671","0.04","0.02","0.05","-0.01","0.02","0.04","0.17"
"","Hosei Kijima","STL","2024","W","927","-0.27","0.23","0.04","0.04","0.13","0.01","0.17"
"","Zarek Valentin","MIN","2024","FB","67","-0.00","0.00","0.18","0.01","-0.02","-0.01","0.17"
"","Jackson Ragen","SEA","2024","CB","3244","-0.05","0.03","-1.36","1.33","0.00","0.20","0.16"
"","Antony","POR","2024","W","2141","-0.65","0.18","0.48","-1.02","1.17","-0.02","0.16"
"","Anthony Markanich","STL, MIN","2024","FB","1545","-0.24","0.04","0.16","0.27","-0.22","0.14","0.15"
"","Dagur Dan Thórhallsson","ORL","2024","FB","2746","0.11","-0.09","0.65","-1.34","0.56","0.26","0.15"
"","Alexander Freeman","ORL","2024","FB","18","-0.00","-0.00","-0.02","0.00","0.12","0.05","0.14"
"","Cody Baker","SEA","2024","FB","566","0.05","0.03","0.31","0.09","-0.22","-0.12","0.14"
"","Leo Väisänen","ATX","2024","CB","945","0.04","0.05","0.29","-0.14","-0.09","-0.00","0.14"
"","Randall Leal","NSH","2024","W","65","-0.05","0.01","0.13","-0.09","0.07","0.08","0.14"
"","Tom Barlow","CHI","2024","ST","941","0.18","-0.12","0.14","-0.40","0.30","0.03","0.13"
"","Tarik Scott","FCD","2024","W","72","0.06","0.26","0.01","-0.10","-0.06","-0.04","0.13"
"","Jahkeele Marshall-Rutty","MTL, TOR","2024","FB","1910","0.20","0.35","-0.12","-0.55","0.19","0.06","0.13"
"","Rodrigues","SJE","2024","CB","3073","-0.07","0.10","-0.69","-0.26","0.86","0.17","0.12"
"","Cassius Mailula","TOR","2024","AM","30","0.01","-0.00","-0.01","-0.06","0.11","0.08","0.12"
"","Sam Vines","COL","2024","FB","2451","-0.10","0.20","0.20","-0.52","0.34","-0.00","0.12"
"","Daniel Aguirre","LAG","2024","CM","165","0.04","0.02","0.04","0.03","-0.01","-0.00","0.12"
"","Damir Kreilach","VAN","2024","ST","558","-0.23","-0.08","-0.00","-0.08","0.40","0.11","0.12"
"","Ryan Spaulding","NER","2024","FB","526","0.01","0.04","0.12","-0.02","-0.04","0.00","0.11"
"","Paul Marie","SJE","2024","FB","1716","-0.33","-0.33","0.42","0.11","0.37","-0.12","0.11"
"","Dylan Teves","SEA","2024","W","105","-0.02","-0.02","0.07","-0.02","0.08","0.01","0.11"
"","Patrick Yazbek","NSH","2024","CM","415","-0.01","-0.00","0.23","-0.07","-0.03","-0.01","0.11"
"","Brooklyn Raines","HOU","2024","DM","520","0.02","0.00","0.47","-0.08","-0.19","-0.12","0.10"
"","Jack Skahan","SJE","2024","CM","1010","-0.11","-0.08","-0.32","-0.22","0.63","0.19","0.10"
"","Gabriel Pirani","DCU","2024","W","1599","0.41","-0.05","-0.00","-0.58","-0.15","0.47","0.10"
"","Ashley Westwood","CLT","2024","DM","3368","-0.03","0.16","-0.00","1.03","-0.57","-0.49","0.10"
"","Marco Reus","LAG","2024","CM","403","-0.25","0.03","-0.04","-0.11","0.33","0.12","0.10"
"","Ruan","FCD, MTL","2024","FB","2708","0.98","0.19","-0.49","-1.49","0.93","-0.04","0.10"
"","Tim Leibold","SKC","2024","FB","2442","0.16","-0.12","0.18","0.04","-0.20","0.03","0.09"
"","Joaquín Sosa","MTL","2024","CB","1417","0.57","0.25","-0.68","-0.25","0.00","0.21","0.09"
"","Franco Escobar","HOU","2024","FB","2021","0.05","-0.25","0.42","-0.19","0.04","0.03","0.09"
"","Dominik Marczuk","RSL","2024","W","508","0.28","-0.03","-0.08","-0.11","0.05","-0.02","0.09"
"","Derrick Jones","CLB","2024","CM","590","-0.04","-0.03","0.16","0.31","-0.22","-0.08","0.08"
"","Rudy Camacho","CLB","2024","CB","2609","0.21","-0.11","-0.33","0.70","-0.36","-0.03","0.08"
"","Peyton Miller","NER","2024","FB","743","0.12","-0.02","0.42","-0.45","-0.01","0.02","0.08"
"","Wayne Frederick","COL","2024","AM","4","0.00","-0.00","0.08","0.00","-0.00","-0.00","0.08"
"","Henry Kessler","STL, NER","2024","CB","2356","-0.09","-0.31","0.76","0.15","-0.32","-0.12","0.08"
"","Joaquín Pereyra","MIN","2024","W","446","0.10","0.00","0.04","0.12","-0.05","-0.13","0.08"
"","Federico Redondo","MIA","2024","CM","1250","0.11","-0.07","0.28","-0.05","-0.07","-0.12","0.08"
"","Diego Luna","RSL","2024","W","2467","-0.63","-0.06","-0.08","0.82","-0.27","0.30","0.07"
"","Nathan","SEA","2024","CB","103","0.00","0.01","0.16","-0.04","-0.04","-0.02","0.07"
"","Talles Magno","NYC","2024","W","91","-0.08","0.24","-0.07","-0.01","-0.01","-0.00","0.06"
"","David Ayala","POR","2024","DM","1664","0.03","-0.06","0.30","0.30","-0.42","-0.08","0.06"
"","Cavan Sullivan","PHI","2024","AM","19","0.02","-0.00","0.02","0.01","-0.02","0.02","0.05"
"","Gabe Segal","HOU","2024","ST","279","-0.07","-0.03","-0.06","-0.20","0.33","0.08","0.05"
"","Jose Casas de Abadal","MIA","2024","W","45","0.00","0.00","0.09","-0.01","-0.01","-0.01","0.05"
"","Dániel Gazdag","PHI","2024","AM","2807","0.22","0.06","0.38","-1.98","1.28","0.09","0.05"
"","Omar González","FCD","2024","CB","960","0.06","0.05","-0.01","0.03","-0.07","-0.01","0.05"
"","Hayden Sargis","DCU","2024","CB","37","0.00","0.00","0.04","0.00","-0.01","-0.00","0.04"
"","David Martínez","MIA","2024","CB","314","-0.09","0.03","0.04","0.14","-0.04","-0.04","0.04"
"","Kalani Kossa-Rienzi","SEA","2024","FB","19","-0.02","0.00","0.06","0.00","-0.00","-0.00","0.04"
"","Herbert Endeley","FCD","2024","FB","134","-0.01","0.08","0.08","-0.03","-0.04","-0.03","0.04"
"","Russell Canouse","DCU","2024","CM","25","-0.01","0.00","0.05","0.01","-0.01","-0.00","0.04"
"","Xande Silva","ATL","2024","W","1589","0.12","0.04","-0.10","0.16","-0.54","0.36","0.03"
"","Julian Hall","NYRB","2024","ST","232","0.11","-0.04","-0.02","0.08","-0.12","0.01","0.03"
"","Franco Fragapane","MIN","2024","W","987","-0.13","-0.08","0.01","0.08","0.07","0.08","0.03"
"","Larrys Mabiala","POR","2024","CB","48","0.02","0.00","-0.00","0.02","-0.01","0.00","0.03"
"","Nikolas Dyhr","STL","2024","FB","166","-0.00","-0.02","0.05","0.04","-0.02","-0.02","0.03"
"","Finn Surman","POR","2024","CB","98","0.00","0.00","0.09","-0.03","-0.02","-0.01","0.03"
"","Tommy Silva","RSL","2024","FB","23","-0.00","-0.00","0.07","-0.04","0.00","-0.00","0.03"
"","Antino Lopez","SEA","2024","AM","14","-0.00","0.06","-0.01","0.00","-0.01","-0.01","0.03"
"","Quinn Sullivan","PHI","2024","CM","2722","1.00","-0.14","-0.45","0.24","-1.00","0.37","0.02"
"","Marcos Dias","NER","2024","W","10","0.01","-0.00","-0.00","-0.00","-0.01","0.03","0.02"
"","Reggie Cannon","COL","2024","FB","379","-0.08","0.01","0.29","-0.23","0.03","0.00","0.02"
"","Luca Petrasso","ORL","2024","W","36","0.03","-0.01","-0.01","0.01","-0.01","0.01","0.02"
"","Jamie Paterson","CLT","2024","W","80","-0.01","-0.01","0.04","-0.03","0.04","-0.01","0.02"
"","Guilherme Biro","ATX","2024","FB","2588","-0.22","0.13","0.13","-0.22","0.11","0.09","0.02"
"","Malte Amundsen","CLB","2024","CB","2623","0.05","0.16","-0.58","1.10","-0.48","-0.24","0.02"
"","Jefferson Valverde","HOU","2024","FB","16","-0.00","0.00","0.01","0.01","-0.00","-0.00","0.01"
"","Teenage Hadebe","CIN","2024","CB","206","-0.02","0.02","0.00","0.08","-0.05","-0.02","0.01"
"","Sawyer Jura","POR","2024","FB","13","0.00","0.01","-0.00","0.01","-0.00","-0.00","0.01"
"","Ervin Torres","ATX","2024","CM","14","0.00","0.00","-0.01","0.02","-0.00","-0.00","0.01"
"","Will Richmond","SJE","2024","W","7","-0.00","-0.00","-0.00","-0.00","0.01","0.01","0.01"
"","Stephen Afrifa","SKC","2024","W","914","0.40","-0.07","-0.06","-0.61","-0.10","0.44","0.01"
"","Ousman Jabang","MTL","2024","FB","15","-0.00","0.00","0.02","-0.01","-0.00","-0.00","0.01"
"","Andreas Maxsø","COL","2024","CB","3466","-0.13","0.58","-0.18","-0.17","-0.05","-0.05","0.00"
"","Tomas Ostrak","STL","2024","DM","765","-0.15","0.03","0.21","-0.07","-0.19","0.18","0.00"
"","Nicolás Freire","MIA","2024","CB","825","0.21","0.05","-0.16","0.13","-0.15","-0.08","0.00"
"","Jonathan Pérez","NSH, LAG","2024","W","446","0.36","-0.04","-0.01","-0.26","-0.19","0.13","-0.00"
"","Marvin Loría","POR","2024","AM","1","-0.00","-0.00","-0.00","-0.00","-0.00","-0.00","-0.00"
"","Kelvin Yeboah","MIN","2024","ST","786","-0.00","0.14","0.02","-0.32","-0.05","0.22","-0.00"
"","Javier Casas","CHI","2024","CM","3","0.00","0.00","-0.00","-0.00","-0.00","-0.00","-0.00"
"","Cyprian Kachwele","VAN","2024","CM","6","-0.00","0.00","-0.00","0.00","0.00","-0.00","-0.00"
"","Shakur Mohammed","ORL","2024","CM","13","-0.00","0.02","-0.01","-0.00","-0.01","-0.01","-0.01"
"","Isaiah Parente","LAG","2024","DM","67","-0.00","-0.00","-0.00","0.05","-0.03","-0.02","-0.01"
"","Mohanad Jeahze","DCU","2024","DM","5","-0.00","0.00","-0.00","-0.00","-0.00","-0.00","-0.01"
"","Brandon Servania","TOR","2024","CM","78","-0.02","0.01","-0.02","0.01","0.00","0.02","-0.01"
"","Matthew Bell","RSL","2024","W","24","0.05","-0.00","0.00","-0.04","-0.01","-0.01","-0.01"
"","Nicholas Scardina","CLT","2024","W","7","-0.01","-0.00","-0.00","0.01","-0.01","-0.00","-0.01"
"","Adolfo Enriquez","POR","2024","AM","10","-0.01","-0.00","0.00","0.01","-0.01","-0.01","-0.01"
"","Sean Nealis","NYRB","2024","CB","2546","-0.16","0.20","-0.09","0.01","-0.11","0.14","-0.01"
"","Piero Elias","NYC","2024","W","5","-0.00","-0.00","-0.00","-0.00","-0.01","-0.00","-0.01"
"","Isaiah Foster","CIN","2024","FB","9","-0.00","0.00","-0.00","-0.01","0.00","-0.00","-0.01"
"","Aidan O'Connor","NYRB","2024","CB","37","-0.01","0.00","0.02","-0.01","-0.01","-0.00","-0.01"
"","Bryant Farkarlun","ATX","2024","W","12","0.01","-0.00","-0.01","0.00","-0.01","-0.01","-0.01"
"","Hugo Bacharach","MIN","2024","CB","104","-0.01","0.01","-0.03","0.05","-0.02","-0.01","-0.01"
"","Nikola Petkovic","CLT","2024","CM","578","0.07","-0.08","-0.09","-0.20","0.20","0.09","-0.01"
"","Zavier Gozo","RSL","2024","ST","19","0.01","-0.00","0.01","0.01","-0.03","-0.01","-0.01"
"","Jack Lynn","ORL","2024","ST","322","-0.18","-0.03","-0.05","-0.33","0.57","0.02","-0.01"
"","Lachlan Brook","RSL","2024","W","279","-0.17","-0.03","0.12","-0.03","-0.09","0.18","-0.02"
"","Júnior Moreno","HOU","2024","DM","33","-0.00","0.01","-0.02","0.02","-0.01","0.00","-0.02"
"","Lucas Bartlett","DCU","2024","CB","3150","-0.39","0.17","-0.95","0.16","0.77","0.22","-0.02"
"","Caden Glover","STL","2024","ST","83","0.08","-0.03","-0.01","0.02","-0.11","0.03","-0.02"
"","Matthew Edwards","ATL","2024","CB","6","-0.00","0.00","-0.01","-0.01","0.00","-0.00","-0.02"
"","Conner Antley","DCU","2024","FB","507","-0.01","-0.22","0.16","0.10","-0.06","-0.00","-0.02"
"","Emanuel Reynoso","MIN","2024","AM","36","-0.01","-0.01","-0.01","0.03","0.00","-0.02","-0.02"
"","Cole Mrowka","CLB","2024","AM","5","-0.00","-0.01","-0.00","-0.00","-0.01","-0.00","-0.02"
"","Jon Bell","SEA","2024","CB","558","0.01","-0.00","-0.08","0.10","-0.05","-0.00","-0.02"
"","Rory O'Driscoll","MIN","2024","ST","5","-0.01","-0.00","-0.00","0.01","-0.01","-0.00","-0.02"
"","Luke Brennan","ATL","2024","W","207","-0.15","0.03","-0.08","0.06","0.18","-0.07","-0.02"
"","London Aghedo","CIN","2024","CB","20","0.00","-0.00","-0.01","-0.01","-0.00","-0.00","-0.03"
"","Marcelo Silva","RSL","2024","CB","212","0.04","-0.00","-0.02","-0.07","-0.01","0.03","-0.03"
"","Kage Romanshyn Jr","MIN","2024","W","16","-0.00","-0.00","-0.01","0.00","-0.01","-0.01","-0.03"
"","Jeremy Garay","DCU","2024","ST","19","-0.00","-0.00","0.02","0.00","-0.04","-0.01","-0.03"
"","Anthony Ramirez","FCD","2024","DM","13","-0.00","0.00","-0.01","-0.01","-0.00","-0.00","-0.03"
"","Omar Valencia","NYRB","2024","CM","7","-0.01","0.00","-0.01","-0.00","-0.00","-0.00","-0.03"
"","Jonathan Mensah","NER","2024","CB","331","-0.02","-0.01","0.24","-0.03","-0.14","-0.07","-0.03"
"","Alexandros Katranis","RSL","2024","FB","2226","0.00","0.10","0.06","-0.28","-0.05","0.13","-0.04"
"","Nick Hagglund","CIN","2024","CB","510","0.06","0.03","0.01","-0.06","-0.05","-0.03","-0.04"
"","Diogo Gonçalves","RSL","2024","AM","628","-0.27","0.18","0.09","0.15","-0.16","-0.03","-0.04"
"","Brendan McSorley","STL","2024","ST","14","0.00","-0.01","-0.00","-0.00","-0.02","-0.01","-0.05"
"","Jean Mota","MIA","2024","CM","32","0.00","0.00","-0.02","-0.02","-0.00","-0.01","-0.05"
"","Omari Glasgow","CHI","2024","AM","49","-0.05","-0.01","0.04","-0.02","0.01","-0.03","-0.05"
"","Patrick Weah","MIN","2024","ST","53","0.01","0.07","0.00","-0.02","-0.08","-0.04","-0.05"
"","Morris Duggan","MIN","2024","CB","61","-0.00","0.01","-0.02","-0.01","-0.01","-0.01","-0.05"
"","Jay Joshua Herdman","VAN","2024","W","15","-0.00","-0.03","-0.01","-0.00","-0.01","-0.00","-0.05"
